,r,kT_all,P_all,K_all,kT_CC,kT_CC_errmin,kT_CC_errplus,P_CC,P_CC_errmin,P_CC_errplus,K_CC,K_CC_errmin,K_CC_errplus,kT_NCC,kT_NCC_errmin,kT_NCC_errplus,P_NCC,P_NCC_errmin,P_NCC_errplus,K_NCC,K_NCC_errmin,K_NCC_errplus
0,0.00, 0.71$^{+0.08}_{-0.08}$ ,  5.69$^{+0.86}_{-0.90}$ , 0.11$^{+0.02}_{-0.02}$ , 0.68,0.07,0.07,  7.34,1.65,1.49, 0.09,0.01,0.02, 1.09,0.56,0.49,  4.58,2.42,2.68, 0.26,0.13,0.12
1,0.04, 0.86$^{+0.09}_{-0.09}$ ,  4.30$^{+0.53}_{-0.51}$ , 0.19$^{+0.02}_{-0.02}$ , 0.82,0.07,0.07,  4.95,0.83,1.16, 0.16,0.02,0.02, 1.14,0.26,0.36,  4.08,1.11,1.45, 0.31,0.07,0.09
2,0.08, 1.04$^{+0.09}_{-0.10}$ ,  3.92$^{+0.40}_{-0.57}$ , 0.28$^{+0.03}_{-0.03}$ , 1.01,0.09,0.10,  4.56,0.63,0.63, 0.24,0.03,0.03, 1.26,0.20,0.16,  3.89,0.64,0.61, 0.38,0.06,0.05
3,0.13, 1.17$^{+0.14}_{-0.06}$ ,  3.32$^{+0.32}_{-0.30}$ , 0.39$^{+0.04}_{-0.03}$ , 1.14,0.10,0.11,  3.55,0.43,0.53, 0.34,0.04,0.05, 1.26,0.12,0.12,  3.26,0.36,0.37, 0.43,0.05,0.04
4,0.20, 1.23$^{+0.11}_{-0.07}$ ,  2.57$^{+0.23}_{-0.19}$ , 0.49$^{+0.05}_{-0.03}$ , 1.22,0.12,0.10,  2.62,0.17,0.34, 0.46,0.05,0.05, 1.25,0.08,0.07,  2.55,0.22,0.21, 0.50,0.04,0.04
5,0.28, 1.21$^{+0.04}_{-0.07}$ ,  1.81$^{+0.10}_{-0.11}$ , 0.60$^{+0.02}_{-0.04}$ , 1.21,0.11,0.12,  1.80,0.19,0.15, 0.60,0.05,0.05, 1.20,0.06,0.04,  1.83,0.10,0.14, 0.58,0.04,0.03
6,0.36, 1.11$^{+0.04}_{-0.03}$ ,  1.16$^{+0.05}_{-0.04}$ , 0.69$^{+0.03}_{-0.02}$ , 1.09,0.06,0.07,  1.11,0.07,0.08, 0.70,0.04,0.04, 1.13,0.07,0.05,  1.27,0.07,0.10, 0.67,0.04,0.04
7,0.46, 0.96$^{+0.04}_{-0.03}$ ,  0.67$^{+0.03}_{-0.03}$ , 0.79$^{+0.03}_{-0.03}$ , 0.96,0.06,0.04,  0.64,0.03,0.04, 0.80,0.04,0.04, 0.98,0.06,0.08,  0.75,0.05,0.06, 0.76,0.04,0.06
8,0.58, 0.83$^{+0.03}_{-0.03}$ ,  0.40$^{+0.02}_{-0.02}$ , 0.87$^{+0.04}_{-0.03}$ , 0.82,0.06,0.06,  0.38,0.02,0.03, 0.86,0.06,0.07, 0.85,0.05,0.04,  0.44,0.03,0.03, 0.83,0.05,0.08
9,0.74, 0.66$^{+0.04}_{-0.02}$ ,  0.19$^{+0.01}_{-0.01}$ , 1.00$^{+0.05}_{-0.05}$ , 0.64,0.05,0.05,  0.19,0.01,0.01, 0.95,0.08,0.06, 0.68,0.03,0.04,  0.19,0.02,0.03, 1.04,0.09,0.08
10,0.95, 0.53$^{+0.04}_{-0.04}$ ,  0.08$^{+0.01}_{-0.01}$ , 1.14$^{+0.12}_{-0.08}$ , 0.50,0.07,0.06,  0.08,0.01,0.01, 1.06,0.13,0.13, 0.55,0.04,0.05,  0.08,0.02,0.01, 1.35,0.18,0.21
11,1.20, 0.44$^{+0.06}_{-0.06}$ ,  0.04$^{+0.01}_{-0.01}$ , 1.37$^{+0.22}_{-0.16}$ , 0.40,0.07,0.05,  0.04,0.01,0.01, 1.21,0.18,0.17, 0.45,0.09,0.07,  0.03,0.01,0.01, 1.69,0.34,0.52
